Data|Autore|Hash|Messaggio|Aggiunte|Tolte
2026-05-03|Ana|43659140|fix minore st|3|3
2026-05-03|Ana|91d73dc9|Verifica: ndp #189|2|2
2026-05-03|Ana|9d4ff2f5|doc: classi device/asset/session st|1642|157
2026-05-03|Lorenzon|0749d04|implementazione dominio seconda iterazione|2768|1301
2026-05-04|Aldo|346fb8ed|Feat: rimosso uc 24.4.5. #191|4|67
2026-05-04|Aldo|3917cbd|Feat: creazione di sessionHandler|16|0
2026-05-04|Aldo|8d63402|Feat: test di session|1135|65
2026-05-04|Aldo|98d31457|Feat: modificato TS68 pdq. #191|1|1
2026-05-04|Ana|3c45f17d|fix: st device con command|44|8
2026-05-04|Ana|7aa54ff1|Doc: st cambiato save in update|118|119
2026-05-04|Ana|e10742b8|Doc: st aggiunte sezioni import,dashboard,valutazioneRequisiti|978|33
2026-05-04|Lorenzon|08caf9f|aggiornato asset con asset evidence|1325|175
2026-05-04|Lorenzon|f577760|aggiornati test|507|973
2026-05-05|Aldo|499a626|Feat: implementazione ImportService e Ports|146|4
2026-05-05|Aldo|97c01772|Fix: correzione descrizione evaluation_map in ST sezione vista dati|1|1
2026-05-05|Aldo|a3367d4|Feat: scritto mongo_device_repository e relative porte. #16, #1, #2, #3, #4|1470|91
2026-05-05|Aldo|af05cee0|Fix: lasciato solo id per il device standard nello schema db di dispositivo (ST, sezione vista dati).|1|12
2026-05-05|Aldo|e76a30f|Feat: aggiunto nel dominio evaluation detail|52|31
2026-05-05|Ana|0c3c827e|fix: st fino a valutazione compresa|39|42
2026-05-05|Ana|510b6eb4|Fix: st asset con command|43|41
2026-05-05|Ana|52399dc4|fix: st vari command|99|49
2026-05-05|Ana|9ce7a0d8|DB 06/05|22|0
2026-05-05|Ana|bc3ca6d5|fix: st dashbaord con command|27|7
2026-05-05|Ana|fca2ad71|fix:st command su asset e import|34|13
2026-05-05|Felix|81b48a56|sprint 12|10|6
2026-05-05|Felix|f15c6fe9|verbale 04/05|226|0
2026-05-05|Lorenzon|27ae897|test action 13|8|0
2026-05-05|Lorenzon|3f04f75|aggiornati test|8|5
2026-05-05|Lorenzon|4fe3a0d|test action 12|3|3
2026-05-05|Lorenzon|65864c13|revisione schema json compliance standard|22|5
2026-05-05|Lorenzon|8460bb5|test action|6|0
2026-05-05|Lorenzon|89dab36|removede unsed import|4|4
2026-05-05|Lorenzon|8d23927|eliminata la possibilità di avere un decision tree none nel requirement aggiunti i nodi del DT a reuirement evaluation ddetail|22|16
2026-05-05|Lorenzon|a6d4db5|aggiunta gestione delle  eccezioni al service #51|26|4
2026-05-05|Lorenzon|bdfedbd|test raccolta metriche|689|438
2026-05-05|Lorenzon|ca72fe6|aggiunte eccezioni a mongoDbRepositoryAdapter|25|4
2026-05-05|Lorenzon|ee7b3e7|test raccolta metriche|435|0
2026-05-06|Aldo|551d23d|Feat: service e inbound port per update device, inclusi test per il service. #30, #49|135|0
2026-05-06|Aldo|657b03e|fix: rimossi import inutilizzati e fix linting|3|5
2026-05-06|Aldo|742385c|Feat: Delete device inbound port e service con relativi test. #31, #50|93|0
2026-05-06|Aldo|843ffaa|Fix: modificato outbund adapter|52|39
2026-05-06|Aldo|a6d2674|Feat: FlaskImportDeviceController #84|209|0
2026-05-06|Aldo|bd153db|Fix: risolti errori esposti da ruff e mypy|25|24
2026-05-06|Aldo|dacf9ce|Feat: aggiunte outbound port di import #25 #26 #27 con factory e template method e test relativi|565|1
2026-05-06|Aldo|e2abded|Feat: get asset detail scrittura bozza|70|16
2026-05-06|Ana|b733331f|doc: st aggiornato|931|12
2026-05-06|Filippo|eee91b3|feat: aggiunto #37|45|0
2026-05-06|Lorenzon|039cec3|fix: #14 #38|6|4
2026-05-06|Lorenzon|33df9c4|aggiunta FlaskConrollerInterface|106|105
2026-05-06|Lorenzon|42e9b19|aggiunta route per la pagina di import all'import controller|20|4
2026-05-06|Lorenzon|5cdec0e|test per i device query service e i controller|428|7
2026-05-06|Lorenzon|c07ef38|feat: prima configurazione del create_app, implementato device list e device detail #34 #35 #82 #53 #54|422|31
2026-05-06|Testolin|098068d|feat: aggiunto #14|7|0
2026-05-06|Testolin|0a4b04d|feat: aggiunto #38 e #57|25|0
2026-05-07|Aldo|317a556|Feat: scritto service e porta per getRequirementEvaluationDetail più relativi test. #44, #63|244|0
2026-05-07|Aldo|38e6585|Fix: risolti conflitti|0|5
2026-05-07|Aldo|548776b|Fix: correzioni rilevate durante la revisione|59|14
2026-05-07|Aldo|6df6e84|Fix: corretto test|1|0
